id,nama,lokasi_resto,menu_restoran,nama_produk,delivery_time,nama_pembeli,id_pembeli,lokasi_pembeli,review,rating,harga_jual,jumlah_dilihat
1,Seller1,Jakarta,Sonic Drive-In,Ice Cream,20,User217,6062,Bandung,Excellent,3.61,90.63,511
2,Seller2,Surabaya,Popeyes,Donut,42,User933,4640,Surabaya,Poor,1.03,69.73,847
3,Seller3,Surabaya,Sonic Drive-In,Coffee,51,User1790,3337,Bandung,Good,3.26,63.11,374
4,Seller4,Jakarta,Dunkin' Donuts,Taco,53,User6863,934,Jakarta,Excellent,2.09,58.4,325
5,Seller5,Jakarta,Domino's Pizza,Pasta,24,User6943,3707,Surabaya,Poor,1.5,56.19,108
6,Seller6,Surabaya,KFC,Donut,22,User8935,8796,Bandung,Poor,3.29,75.68,451
7,Seller7,Surabaya,Pizza Hut,Ice Cream,38,User7760,4821,Bandung,Excellent,1.12,74.71,412
8,Seller8,Jakarta,Sonic Drive-In,Chicken,42,User6544,8988,Surabaya,Good,4.5,15.42,56
9,Seller9,Surabaya,Taco Bell,Taco,19,User1089,4252,Bandung,Poor,4.91,87.28,955
10,Seller10,Jakarta,McDonald's,Ice Cream,31,User6609,7412,Surabaya,Excellent,1.6,98.75,514
11,Seller11,Surabaya,Pizza Hut,Salad,45,User8448,2515,Jakarta,Good,2.59,88.46,420
12,Seller12,Bandung,Taco Bell,Burger,48,User4069,5974,Jakarta,Good,3.81,71.94,93
13,Seller13,Jakarta,McDonald's,Taco,16,User2843,2009,Bandung,Poor,1.09,23.35,539
14,Seller14,Bandung,Arby's,Ice Cream,41,User6369,1,Jakarta,Poor,1.41,72.93,967
15,Seller15,Surabaya,Five Guys,Coffee,42,User4966,4707,Jakarta,Excellent,3.92,25.51,729
16,Seller16,Bandung,Subway,Pasta,20,User1535,4363,Surabaya,Good,2.6,19.11,355
17,Seller17,Jakarta,Burger King,Coffee,38,User5903,5338,Surabaya,Excellent,4.39,26.63,506
18,Seller18,Bandung,Little Caesars,Taco,42,User1766,9649,Bandung,Excellent,2.06,70.42,48
19,Seller19,Surabaya,KFC,Taco,45,User3729,5086,Bandung,Poor,3.66,76.57,537
20,Seller20,Surabaya,Chick-fil-A,Taco,24,User5215,7924,Bandung,Good,2.43,84.88,693
21,Seller21,Bandung,Chick-fil-A,Sandwich,35,User9026,59,Surabaya,Good,3.75,5.47,61
22,Seller22,Surabaya,Little Caesars,Ice Cream,56,User2008,9440,Bandung,Average,3.7,58.1,167
23,Seller23,Jakarta,Wendy's,Sandwich,52,User444,5491,Surabaya,Excellent,1.59,75.96,402
24,Seller24,Bandung,Panera Bread,Burger,19,User412,5107,Bandung,Average,2.26,67.1,35
25,Seller25,Bandung,Starbucks,Pizza,39,User3438,2778,Surabaya,Excellent,1.52,20.23,450
26,Seller26,Surabaya,Wendy's,Pasta,30,User6524,2320,Jakarta,Good,3.82,44.59,953
27,Seller27,Jakarta,Taco Bell,Pizza,35,User5337,5711,Surabaya,Excellent,1.86,18.23,679
28,Seller28,Jakarta,McDonald's,Coffee,49,User5473,3026,Jakarta,Excellent,4.2,83.25,80
29,Seller29,Bandung,Panda Express,Ice Cream,52,User9149,4487,Jakarta,Good,4.65,57.98,780
30,Seller30,Surabaya,Sonic Drive-In,Pizza,26,User6384,8249,Surabaya,Excellent,1.92,89.79,586
31,Seller31,Bandung,Subway,Salad,26,User7935,951,Bandung,Good,1.75,42.5,616
32,Seller32,Jakarta,Popeyes,Pasta,40,User3776,4529,Surabaya,Poor,4.39,52.99,426
33,Seller33,Jakarta,McDonald's,Chicken,38,User6305,6448,Jakarta,Good,2.64,68.04,375
34,Seller34,Jakarta,Arby's,Salad,43,User636,8303,Bandung,Excellent,2.65,33.66,259
35,Seller35,Jakarta,Five Guys,Coffee,37,User4799,7771,Surabaya,Good,2.18,5.71,487
36,Seller36,Bandung,Subway,Pizza,53,User2752,6319,Bandung,Excellent,3.14,61.2,451
37,Seller37,Jakarta,Wendy's,Ice Cream,50,User8429,3872,Jakarta,Good,1.1,49.6,851
38,Seller38,Jakarta,Starbucks,Ice Cream,37,User4391,4380,Bandung,Average,1.67,26.95,300
39,Seller39,Surabaya,Taco Bell,Pizza,18,User8744,5860,Surabaya,Poor,3.64,90.47,993
40,Seller40,Surabaya,Dunkin' Donuts,Ice Cream,39,User4266,3900,Jakarta,Average,1.41,12.54,156
41,Seller41,Jakarta,Five Guys,Salad,42,User4515,8666,Bandung,Excellent,1.38,51.17,161
42,Seller42,Surabaya,Little Caesars,Taco,55,User2301,9927,Bandung,Average,3.98,98.42,312
43,Seller43,Surabaya,Dunkin' Donuts,Chicken,50,User1997,6439,Bandung,Poor,4.23,91.45,764
44,Seller44,Jakarta,Pizza Hut,Sandwich,17,User5514,6955,Surabaya,Good,4.33,84.95,604
45,Seller45,Bandung,Wendy's,Coffee,15,User5267,3237,Bandung,Average,1.45,53.66,18
46,Seller46,Jakarta,Wendy's,Ice Cream,45,User7807,7831,Surabaya,Poor,2.35,97.99,464
47,Seller47,Surabaya,Burger King,Ice Cream,22,User5290,8574,Jakarta,Good,2.75,60.35,955
48,Seller48,Bandung,Chick-fil-A,Pasta,19,User1421,7955,Jakarta,Average,4.58,84.59,142
49,Seller49,Bandung,Domino's Pizza,Ice Cream,49,User510,9159,Surabaya,Excellent,3.68,47.81,458
50,Seller50,Jakarta,Panda Express,Ice Cream,53,User3382,2599,Surabaya,Excellent,1.43,49.69,794
51,Seller51,Jakarta,Little Caesars,Pasta,31,User4590,7500,Jakarta,Poor,4.99,42.29,760
52,Seller52,Jakarta,Chipotle,Chicken,18,User6571,4237,Jakarta,Average,3.51,91.84,52
53,Seller53,Surabaya,Arby's,Burger,55,User5407,9546,Bandung,Poor,2.27,84.33,601
54,Seller54,Surabaya,McDonald's,Pasta,27,User9255,5568,Surabaya,Average,1.89,32.62,989
55,Seller55,Jakarta,Little Caesars,Chicken,16,User7316,494,Surabaya,Poor,1.77,63.99,664
56,Seller56,Surabaya,Panda Express,Taco,51,User9566,8503,Jakarta,Average,3.64,93.64,499
57,Seller57,Bandung,Chipotle,Pasta,46,User4011,2903,Bandung,Average,2.47,77.45,672
58,Seller58,Surabaya,Chick-fil-A,Chicken,41,User1341,4814,Surabaya,Excellent,4.37,22.18,563
59,Seller59,Surabaya,McDonald's,Salad,31,User3415,6502,Surabaya,Poor,2.82,36.49,756
60,Seller60,Jakarta,Starbucks,Chicken,50,User274,945,Surabaya,Good,1.74,61.74,623
61,Seller61,Jakarta,Domino's Pizza,Taco,30,User7229,4702,Jakarta,Good,4.15,88.24,606
62,Seller62,Bandung,Burger King,Taco,37,User9010,4487,Bandung,Excellent,4.3,55.22,674
63,Seller63,Surabaya,Five Guys,Pizza,15,User3177,2654,Jakarta,Average,3.29,34.17,984
64,Seller64,Surabaya,McDonald's,Ice Cream,19,User9983,3898,Surabaya,Good,3.46,61.25,920
65,Seller65,Jakarta,McDonald's,Sandwich,40,User7935,3902,Surabaya,Average,4.18,25.7,94
66,Seller66,Bandung,McDonald's,Taco,57,User7898,9530,Jakarta,Excellent,1.86,15.45,173
67,Seller67,Bandung,Chick-fil-A,Taco,21,User4113,2330,Bandung,Good,4.38,60.24,482
